Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa)
22:54:38,53.1,29.0,1012.51,,,
22:59:38,53.1,29.0,1012.4,,,
23:04:38,52.6,29.0,1012.36,,,
23:09:39,52.0,29.3,1012.28,,,
23:14:39,51.4,29.6,1012.27,,,
23:19:39,50.9,29.5,1012.41,,,
23:24:39,50.9,29.7,1012.29,,,
23:29:40,50.5,29.5,1012.15,,,
23:34:40,50.4,29.6,1012.21,,,
23:39:40,50.6,29.5,1012.18,51.55,29.37,911.09
23:44:40,50.5,29.4,1012.35,,,
23:49:40,50.8,29.5,1012.46,,,
23:54:41,50.8,29.4,1012.49,,,
23:59:41,50.8,29.4,1012.75,,,
