Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa),Napon (V),Brzina vjetra (m/s)
12:34:29,88.7,21.3,1000.99,,,,0.39,0.0
12:39:29,88.6,21.3,-201.49,,,,0.37,0.0
12:44:29,86.4,21.2,-201.49,,,,0.37,0.0
12:49:29,84.4,21.2,-201.49,,,,0.37,0.0
12:54:30,78.2,21.1,-201.49,,,,0.38,0.0
12:59:30,85.0,21.2,-201.49,,,,0.43,0.69
13:04:30,86.8,21.7,-201.49,,,,0.37,0.0
13:09:30,87.6,22.6,-201.49,,,,0.37,0.0
13:14:30,84.6,23.2,-201.49,,,,0.37,0.0
13:19:31,78.9,23.5,-201.49,84.92,21.83,-81.24,0.37,0.0
13:24:31,77.5,23.7,-201.49,,,,0.41,0.2
13:29:31,77.2,23.8,-201.49,,,,0.37,0.0
13:34:31,75.4,23.9,-201.49,81.56,22.59,-201.49,0.41,0.2
13:39:32,73.8,23.8,-201.49,,,,0.43,0.59
13:44:32,73.3,24.1,-201.49,,,,0.38,0.0
13:49:32,73.2,24.1,-201.49,,,,0.37,0.0
13:54:32,72.2,24.1,-201.49,77.37,23.68,-201.49,0.38,0.0
13:59:33,72.6,24.2,-201.49,,,,0.4,0.0
14:04:33,71.3,24.1,-201.49,,,,0.41,0.11
14:09:33,71.0,24.1,-201.49,73.75,23.99,-201.49,0.43,0.59
14:14:33,70.3,24.2,-201.49,,,,0.38,0.0
14:19:34,69.4,24.3,-201.49,,,,0.38,0.0
14:24:34,68.5,24.5,-201.49,71.56,24.15,-201.49,0.39,0.0
14:29:34,68.9,24.5,-201.49,,,,0.43,0.59
14:34:34,67.6,24.7,-201.49,,,,0.4,0.0
14:39:34,69.1,24.7,-201.49,,,,0.38,0.0
14:44:35,68.5,24.9,-201.49,69.72,24.42,-201.49,0.37,0.0
14:49:35,67.5,24.9,-201.49,,,,0.39,0.0
14:54:35,66.2,24.8,-201.49,,,,0.4,0.01
14:59:35,67.6,24.7,-201.49,68.36,24.62,-201.49,0.38,0.0
15:04:36,68.1,24.6,-201.49,,,,0.38,0.0
15:09:36,68.6,24.5,-201.49,,,,0.37,0.0
15:14:36,69.0,24.3,-201.49,68.11,24.66,-201.49,0.34,0.0
15:19:36,70.0,24.1,-201.49,,,,0.32,0.0
15:24:37,75.7,23.2,-201.49,,,,0.37,0.0
